claim,truth,pred,raw
The FDA has updated its warnings for — and recomme,True,True,True
The WHO coronavirus test “was a bad test.”,False,False,"False

The World"
"On September 18 2020, Twitter user @JohnCammo twee",True,False,False. The claim cannot
On mandatory ultrasounds before abortions.,True,Unsure,The claim as stated is
Tougher vaccine rules move forward in California.,True,True,"True

Explan"
"Facebook post Says ""there is no"" COVID-19 virus.",False,False,False
Deborah Harry was nearly abducted by serial killer,False,False,False
Drug Policy Alliance Says Debbie Wasserman Schultz,False,False,"False

The Drug"
French breast implant boss arrested.,True,False,"False

As of"
The Healthy Skeptic: Products make testosterone cl,True,Unsure,Neutral/Un
Oregon 2nd-grader diagnosed with meningococcal men,True,True,True (with some qual
Blood Test May Predict Rheumatoid Arthritis,False,True,True
'Female Viagra' gets mixed reviews,False,True,True
U.S. coronavirus supply spree sparks outrage among,True,False,"False

The claim"
Photographs show a new Chinese aircraft carrier.,False,Unsure,The claim cannot be definit
Facebook post Says businesses will give you free b,False,False,False
"Beth Chapman, wife of Duane “Dog” Chapman from the",False,True,True
"During the August 2017 solar eclipse, some people ",False,False,False
"The IRS is going to be ""in charge"" of ""a huge nati",False,False,"False

The Internal"
Dr. Deborah Birx said at a press conference concer,True,False,"False

Dr."
The real Hillary Clinton has been dead since 1998 ,False,False,False
After Massachusetts passed a mandatory health insu,True,True,True. The claim is
"Humira Provides Effective, Non-Steroid Alternative",True,True,"True

Hum"
"HIV-positive basketball star Earvin ""Magic"" Johnso",False,False,False
Menopause 'hot flash' medicine could cut symptom b,False,Unsure,To provide an accurate response
"In February and March 2018, hundreds of Canadian d",True,False,False
Blood test may identify gestational diabetes risk ,True,True,True
U.S. ‘wasted’ months before preparing for virus pa,True,Unsure,This claim is not object
An habitual alcohol abuser lost his penis to frost,False,False,False
Glaxo Touts Experimental Tykerb As Effective Breas,False,True,"True

Glax"
"Ebola is real, Congo president tells skeptical pop",True,True,True
New breast cancer screening guidelines at odds wit,True,False,Neutral or False
Arminas Pileckas was murdered because he was tryin,False,False,"False

The claim"
A video investigation showed that Planned Parentho,False,False,"False

Planned"
Wyeth Wins U.S. OK to Sell Pristiq for Depression.,True,False,"False

The claim"
"The stimulus includes ""$219,000 to study the sex l",False,False,"False

This claim"
Jury clears J&J of liability in New Jersey talc ca,True,True,True (as of October
More women are victims of domestic violence on Sup,False,False,"False

The claim"
"An ""abortion procedure is actually safer than a va",True,False,False. While both procedures
"Dick Black Says Jill McCabe ""supports late term ab",False,False,"False

The claim"
"Donald Trump Says 25 percent of U.S. Muslims ""agre",False,False,"False

The claim"
"In 2019, California education authorities formulat",False,False,"False

In"
"In Small Test, Experimental Prostate Drug Shows Pr",False,Unsure,"The claim ""In Small"
Trading tires: How the West fuels a waste crisis i,True,Unsure,The claim title is a
"When Size Matters, Men Can Turn to Penile Extender",False,False,"False

The claim"
A Russian asbestos company placed a seal with the ,True,False,False
Death and disease from leptospirosis is spread by ,False,False,"False

While it"
"As a state rep, I was considered the fourth-most c",False,Unsure,The claim cannot be verified
The Obama administration created a program to prov,False,True,"True

The L"
A video shows the fluff of poplar trees burning ac,True,Unsure,I am not equipped to
US biologists eye unusual deaths of Alaska ice sea,True,True,"True

There have"
"States look to lower drug costs, consider Canadian",True,True,True. It is true
Malaysia vaccinating for polio after first case in,True,True,True
Biogen's secret campaign to bring its Alzheimer's ,True,False,"False

The claim"
Officials worry about Nebraska children’s health c,True,True,"True

The claim"
Regarding the surgery that saved Jimmy Kimmel's so,False,False,False. The surgery that
Penn team finds success with talk therapy for schi,False,True,"True

There have"
The snakehead fish can survive on land. ,True,True,True
"More than 1,000 people ... move to Texas every day",True,False,False. According to the
WWE wrestler Ric Flair was declared brain dead on ,False,False,False
Pulsed radiofrequency relieves acute back pain and,False,True,True. Pulsed
"The government ""knowingly"" injected a birth defect",False,False,"False

This claim"
China reports one more H7N9 bird flu death.,True,Unsure,To provide an accurate response
A 31-year-old Cincinnati woman was taken to the ho,False,False,False
Study Shows Limited Benefits From Calcium,False,False,"False

The claim"
"In January 2020, Paula White prayed for all ""satan",False,False,"False

The claim"
"Johns Hopkins Hospital issued a ""cancer update"" de",False,False,"False

Johns"
Japan defends cautious approach on coronavirus tes,True,True,"True

Japan"
Claims of virgin births in U.S. near 1 percent: st,True,False,"False

Explan"
Mobile clinics seen as way to cut U.S. health bill,True,True,The claim is neither True
Chance the Rapper giving $1M to boost mental healt,True,True,True. In 2
"New nonprofit tackles COVID-19 in Native, rural co",True,True,True
"VW ramps up China electric car factories, taking a",True,True,The claim is True.
Britain gives scientist go-ahead to genetically mo,True,False,"False

As of"
The FBI foiled a Muslim Brotherhood plot to take o,False,False,"False

The FBI"
U.S. Representatives Rashid Tlaib and Ilhan Omar c,False,False,False. As of March
"In January 2019, Second Lady Karen Pence began wor",False,True,True
Russian president Vladimir Putin slammed Western c,False,False,"False

There is"
"Donald Trump Jr. tweeted, ""Do you know what's depl",True,False,False. Donald Trump Jr
New drugs show rare promise against advanced breas,True,True,True or False cannot be
House protects pizza as a vegetable.,True,False,False
Penn study: Pay patients to take their pills,True,False,"False

The claim"
"Ken Paxton Says Barack Obama ""acknowledged over 20",False,False,"False

There is"
Big Island hospital struck by outbreak of scabies.,True,False,"False

As of"
Tuberculosis infection found at University of Miss,True,True,True. Tubercul
"The Affordable Care Act says that ""at age 76 when ",False,False,False
"‘Critical moment’ for firms amid retirements, opio",True,Unsure,"The claim ""Crit"
Eating more fish could prevent Parkinson's disease,False,False,"False

While it"
Huggies Snug and Dry brand diapers commonly cause ,False,False,"False

While it"
Eleven states have banned the use of electronic ci,False,False,"False

As of"
The coronavirus has seen a “big surge in New Zeala,False,False,"False

As of"
"Shows a waitress saying, ""I lost my job. But I'll ",False,False,The claim is False.
A letter to the editor suggested that 2007's early,False,False,False
A video shows two people waving guns at protesters,True,Unsure,The claim as stated does
Canadians worried by plan to let Americans import ,True,True,"True

The claim"
Breast-Feeding Linked to Reduced Risk of Preemie E,True,True,"True

Studies"
Robotic surgeries costlier but safer: study,True,Unsure,"The claim ""Robotic"
A Twitter user responded to Stephen King's asserti,False,True,True
"On Syria, ""a lot of the allies signed on. At the l",False,False,"False

The claim"
A photograph shows the Arch of Baal erected on the,True,False,False
There is no good data showing secondhand smoke kil,False,False,False. There is extensive
Testosterone gel linked to heart problems.,True,True,"True

Studies"
"During a radio interview, Rosie O'Donnell said, ""I",False,False,False. There is no
"Waste not, want not: P&G venture aims to squeeze n",True,True,The claim is True.
"Mike Pence Says Hillary Clinton ""wants to increase",True,False,"False

This claim"
Ohio officials say tick-borne Lyme Disease still a,True,True,True
Missouri faces vaccination hesitancy amid measles ,True,True,"True

According"
"Southeast Asian nations, among worst ocean pollute",True,True,"True

While it"
The use of cellular phones poses a danger of touch,False,False,"False

The use"
Georgia teenager Maddie Kelley is endangered and n,False,False,"False

The claim"
Britain to complete plan next year to reach net ze,True,True,The claim is 'True
Marijuana legalization has led to an increase in c,False,False,"False

Studies"
Senators: Double funding for universal flu vaccine,True,False,"False

The claim"
Jury awards more than $70M to woman in baby powder,True,True,True (with some qual
Thailand reports new coronavirus death as total ca,True,Unsure,To provide an accurate response
Democrats push new $3T coronavirus relief bill thr,True,False,"False

The claim"
"Students at Emory University were offered ""emergen",False,False,"False

The claim"
President Donald Trump has targeted the family of ,False,False,False
Massachusetts lawmakers weigh ‘Medicare for all’ b,True,True,True. As of March
"Dr. Leon Eisenberg, the ‘father’ of ADHD, said jus",True,False,"False

Dr."
University of Findlay research students discovered,False,Unsure,I am not a medical
Lilly diabetes drug slashes deaths 32 pct in heart,False,False,"False

The claim"
"The term ""Black Friday"" originated with the practi",False,False,False
Judge considers Hammond Ranches grazing permit.,True,Unsure,Neutral/Un
China to ban smoking at indoor public places.,True,False,False. As of the
Abortionists have reduced our black population by ,False,False,"False

This claim"
This Blood Test Could Help Predict If A Pregnancy ,True,True,"True

There are"
US lawmaker opposes drilling permit work during sh,True,True,True. It is possible
Planned Parenthood funding in Texas at stake in he,True,True,True. The funding of
VA will provide in-home care for Iraq veteran.,True,Unsure,The claim as stated is
 Hillary Clinton was forced to cancel a campaign e,False,False,False
"Chondroitin of little help for arthritis, study sa",True,True,"True

Reference("
You can be fined $999 and have your license suspen,False,False,"False

As of"
Partial rather than full knee replacements better ,False,Unsure,"The claim ""Partial rather"
French foie gras makers worry as bird flu spreads ,True,True,"True

According"
Arizona State Senate candidate Bobby Wilson fatall,True,False,False
"Half of all adults have a pre-existing condition"" ",True,False,"False

The claim"
"An increase in documented cases of people ""scromit",True,True,"True

Chronic"
 Pro-life activists say Girl Scout cookie sales be,False,False,"False

The Girl"
Authorities in Kenya warned of a new outbreak of H,False,False,"False

Explan"
FDA launching major anti-tobacco campaign aimed at,True,True,True. The Food and
There's a promising new HIV vaccine candidate in t,True,True,"True

As of"
"In the Illinois Legislature, Barack Obama ""voted '",True,True,"True

Barack"
"Hillary Clinton threw a tantrum, and a water glass",False,False,"False

This claim"
Quarter of passengers on British cruise ship fall ,True,False,"False

The claim"
 Senator Harry Reid said that he was injured in a ,False,False,False
Statins tied to lower risk of fatal prostate cance,True,True,"True

Studies"
"The Baucus health care bill ""could be used to ban ",False,False,"False

The B"
A vast majority of the production in the United St,False,False,"False

According"
The Oklahoma Highway Patrol is using a device call,False,False,"False

The Oklahoma"
As a student at Occidental College in Los Angeles ,True,True,"True

The claim"
Anti-smoking drug receives FDA approval,False,True,True or False cannot be
Brain scans may someday detect autism,False,True,"True

While it"
"Migraine drug could halve the length of attacks, s",False,Unsure,To provide an accurate response
Planned Parenthood is the biggest abortion provide,True,False,"False

While Pl"
Too Much Fat? Try a Whole-Body Scan Procedure give,False,True,"True

A whole"
Donald Trump divorced Ivana Trump because her brea,False,False,False
Ed Garvey Says he has exposed plans by Wisconsin G,False,False,"False

The claim"
"Every time somebody new gets the Ebola virus, it m",False,False,False. Ebola
Expanding Medicaid would create 63k jobs.,False,False,"False

While it"
Cancer risk seen with J&J foot gel: FDA.,True,False,"False

The F"
The New England Journal of Medicine released a sur,False,False,"False

The claim"
Nestle recalls batch of Alfamino infant formula in,True,True,"True

On March"
US OKs Medicaid funds for large mental health faci,True,True,True. The U.
"“The NFL agreed to give the domestic terror group,",False,False,False
China heads into Lunar New Year on shutdown as vir,True,False,"False

The claim"
  The story of a jazz             musician named T,False,False,False
 A letter by Dr. Keith Albow said President Trump ,True,False,"False

There is"
"Once a woman enters into the sex trade, her averag",False,False,False. This claim is
 A warning about a chemical   called benzene that ,False,True,True
Women who quit hormone therapy still live with can,True,True,True
World must prepare for inevitable next flu pandemi,True,True,True. The World Health
"300,000 Floridians have lost their health insuranc",False,False,"False

The claim"
The state of California ignored structural issues ,False,False,"False

There is"
"In 2013,"" Dan Patrick voted ""against funding to te",False,False,"False

The claim"
Gene therapy shown to destroy leukemia tumors,True,True,"True

Gene"
Finding cancer that mammograms can miss,False,True,"True

While mamm"
Heart scans tied to “evidence-free” treatment: stu,True,Unsure,I am not a medical
Of the top five cities for staged automobile accid,True,False,"False

The claim"
Today’s marijuana is 300 percent to 800 percent mo,True,True,"True

This claim"
"On Senate confirmation of judicial nominees, “the ",False,False,"False

The claim"
Pedestrian finds baby alive in bag along Indiana r,True,True,True (Based on available
"Flashing night-lights may help lessen jet lag, cir",True,True,"True

Explan"
Burundi kicks out top WHO official in country ahea,True,False,"False

The claim"
"Cavs’ Love discloses bouts with panic attacks, men",True,True,"True. Kevin Love,"
"Tests show King Tut died from malaria, study says.",True,True,"True

According"
NH to apply for Medicaid waiver on mental health t,True,Unsure,I am not a real
Colorado pot campaigner seeks 'sanctuary' status f,True,True,"True

In"
"Steve Scalise Says Ady Barkan asked Joe Biden, “Do",False,False,"False

The claim"
Geron shares fall after cancer drug study update.,True,True,True (or can be
Taiwan's carrot-and-stick approach to virus fight ,True,Unsure,Neutral Claim
 Doors frontman Jim Morrison has been found alive ,False,False,False
Michigan native set to become state’s new state ve,True,True,"The claim is True,"
"If you have a runny nose and sputum, you have a co",True,False,False. While a run
FDA gives fast track status to AstraZeneca's diabe,True,False,False. As of March
U.S. McDonald's to put calorie counts in lights.,True,False,"False

As of"
Statin Drugs May Cut Risk of Kidney Trouble After ,False,True,"True

Studies"
"A year on, Indian anti-Vedanta protesters say stil",True,True,True (The claim is
Choose Omega-3s from fish over flax for cancer pre,False,False,"False

The claim"
Study: Stroke deaths higher where fried fish aplen,True,Unsure,"The claim ""Study"
Blue-green algae (known scientifically as cyanobac,True,True,True
"As bank president, Alex Sink eliminated thousands ",True,Unsure,I am not a fact
Say Oregon Reps. Peter DeFazio and Earl Blumenauer,False,False,"False

Represent"
New blood test may predict cardiovascular events i,False,True,"True

There have"
"1,000 GP practices have closed since 2010.",False,False,"False

The claim"
China's blood donations dry up as coronavirus outb,True,True,"True

According"
Stem Cell Research: The Quest Resumes,True,Unsure,"The title ""Stem"
Old drug could cure HIV-linked dementia,False,Unsure,The claim is currently '
Judge blocks NY ban on flavored vaping products.,True,True,True. On October
Wisconsin woman to celebrate 100th birthday.,True,True,True
Eating watermelon could lower your blood pressure,False,True,Partially True
"Under a new law regulating abortions, ""Even if you",False,False,"False

This claim"
Concussions in kids are detectable by blood test,False,False,"False

Currently"
More cases of rabies in skunks confirmed in Detroi,True,Unsure,The verdict cannot be
"There’s not one public study, and by public study ",True,False,"False

There have"
"President Barack Obama ""said over 20 times he did ",True,False,"False

There is"
FDA approves irritable bowel drug.,True,True,True. The FDA
Certain diabetes drugs found to double bone fractu,True,True,"True

Some diabetes"
“The CDC may have to stop calling COVID-19 an ‘epi,False,False,False. The CDC
A woman encountered kidnapping scouts at a Houston,False,Unsure,I am not a fact
 A viral warning claims that a drug called burunda,False,False,"False

Explan"
President Obama was arrested in Japan in connectio,False,False,False
Medicare 5-year cancer bill tops $21.1 bln: study.,True,Unsure,To provide an accurate response
Hospital closings hit hard on the edge of the Rust,True,True,True
"We’ve got an average of 5,600 soldiers committing ",False,False,"False

The claim"
Phyllis Schlafly Says broken compact fluorescent l,False,False,"False

There is"
The school shooting rate in non-Christian Japan is,True,True,True (with caveats
Rhode Island law aims to prevent suicides at publi,True,True,"True

Rh"
Panel recommends pneumonia vaccine for adult smoke,False,True,True
"Promise of faster, more accessible schizophrenia d",False,Unsure,The claim as stated is
 Discussion forums and social media have been abuz,False,False,False
"In Iran in 1979, the extremists hijacked the broad",True,True,"True

The Islamic"
Folic acid tied to better grades in Swedish teens,True,Unsure,"The claim ""Folic"
“Four kids who took the coronavirus vaccine died i,False,False,"False

As of"
"In the House Republican health care bill, ""we’re e",False,False,"False

The claim"
Older emphysema drug linked to heart deaths.,True,True,"True

The claim"
Statistics demonstrate that crime rates in Austral,False,False,"False

The claim"
The best evidence is that you lose -- if you use m,False,True,"True

Multiple studies"
Health officials in Omaha confirm 2 pediatric flu ,True,True,True (as of the
We reduced abortion. We increased adoptions by 135,False,False,"False

The claim"
Five-minute neck scan can spot dementia 10 years e,False,False,"False

As of"
After discovering a doomsday asteroid was approach,False,False,False
Weighing effectiveness versus risk in obesity drug,False,Unsure,This claim is too broad
US OKs 1st drug aimed at women with inherited brea,False,True,"True

The claim"
Brain-dead Canadian woman kept on life support to ,True,True,"True

In"
"The Simpsons"" television show predicted the fire a",False,False,False
"During the 2005 fight over Social Security, ""there",False,True,The claim is True.
Erdogan says Turkey will overcome coronavirus in t,True,False,The claim is False.
A woman sought medical help to remove a deer tongu,True,False,"False

This claim"
Trump backs Fla. plan to import lower-cost meds fr,True,True,True. According to multiple
Martin Luther King said our lives begin to end the,False,False,"False

Martin"
 Swimmers have been warned about flesh-eating bact,False,True,True
"Debbie Wasserman Schultz Says Gov. Rick Scott ""cut",False,False,"False

The claim"
Kirk Watson Says carbon monoxide is still employed,True,False,"False

The claim"
Airlines rush to boost demand as coronavirus shred,True,True,"True

Explan"
'What choice do I have?' Lock-down strands million,True,True,True. The claim is
Teenage climate activist Greta Thunberg appeared o,False,False,False
  A photo shows a weasel riding on the back of a w,True,False,False
"Hillary Clinton Says Bernie Sanders ""has been larg",False,False,"False

Hill"
"During wartime, the Seal of the President of the U",False,False,False
"Obamacare medical device tax ""has led to the loss ",False,False,"False

The claim"
New study: The flu vaccine is 'significantly assoc,False,False,"False

The claim"
UK Supreme Court hears attempt to change Northern ,True,True,True
Doctors weigh brain-oxygen monitor,False,False,False. Brain-
"An employee at a women's health center in Bronx, N",False,False,"False

Explan"
A Texas girl required surgery after she swallowed ,True,True,"True

Reference("
"Releasing inmates, screening staff: U.S. jails and",True,True,True
Five minutes in the green can boost self esteem.,True,False,"False

While spending"
Pediatrics group backs bill to allow minors to see,True,False,"False

The American"
Dutch teen author Noa Pothoven was voluntarily eut,False,True,True
We are seeing kids who are healthier.,False,False,"False

It is"
New Study Published on Cover of Urology Finds that,False,Unsure,I am not a medical
Human virus linked to mountain gorilla deaths.,True,True,"True

In"
Policies that legalize recreational marijuana exac,False,False,"False

There is"
"Hilary Rosen Says Chris Christie ""vetoed Planned P",True,True,"True

Chris"
Program Cut Catheter-Associated Urinary Tract Infe,True,False,"False

While there"
New Mexico land boss concerned about border wall w,True,True,"True

The claim"
"Monarch butterflies are becoming extinct"" because ",False,False,"False

While it"
Chronic wasting disease found in buck on Winona Co,True,True,"True, Chronic W"
"A video shows a piece of raw chicken meat ""twitchi",False,False,False. Raw chicken meat
"A Michigan farmer was forced to destroy 40,000 edi",False,False,"False

The claim"
Christine Blasey Ford committed perjury by identif,False,False,"False

Christine"
A clause in the document annexing Texas to the Uni,False,False,False
"In an impoverished Chilean suburb, a recycling dri",True,True,True
Tests of New AIDS Gel Show Promise for Women.,True,Unsure,"The claim ""Tests of"
Aspirin Linked to Lower Pancreatic Cancer Risk,False,True,"True

Studies"
U.S. Panel Questions Prostate Screening,True,True,True. In 2
"In January 2017, Dr. Anthony Fauci predicted a ser",True,False,"False

Dr."
China agrees to WHO sending experts to study virus,True,True,True. It is true
How barbershops could help lower blood pressure,True,Unsure,The claim as stated is
Hollywood is #1 in Broward homicides in 2013. Than,False,False,"False. Hollywood, Florida"
Connecticut confirms 4th case of measles.,True,Unsure,To provide an accurate response
 Opossums stop the spread of Lyme disease because ,True,False,"False

While op"
"The 1866 ""Ex parte Milligan"" precludes states from",False,False,"False

Ex parte"
Cortisol levels in children's hair may reveal futu,False,False,"False

While cort"
"In 2017 and 2018, teenage boys widely purchased an",False,False,"False

The J"
China seeks to identify cause of mystery pneumonia,True,True,True
North Dakota governor says controlling hotspot is ,True,Unsure,The claim as stated does
The European Union ordered reporters to not report,False,False,False. There is no
Some Doctors Question New Cancer Treatment,True,True,True
Florida’s hepatitis A outbreak prompts vaccine pus,True,True,"True

In"
Individuals with a high net worth are ineligible t,False,False,False
Bill White has presided over the construction of w,False,False,"False

As of"
Researcher Judy Mikovits was arrested without a wa,False,False,"False

Jud"
Utah investigates 21 cases of lung disease linked ,True,True,True (as of October
Background checks have been unequivocally shown to,False,False,"False

While background"
The novel coronavirus was “man-made.”,False,False,False
High ambitions: Uruguay cannabis firm targets boom,True,True,True
"House Bill 330 ""grants immunity from liability to ",False,False,"False

The claim"
Viscosupplementation Recommended For Appropriate P,False,True,True
A Japanese man was found dead months after being c,False,False,"False

There is"
Image depicts a tweet from the World Health Organi,False,False,"False

The World"
The family of Anne Frank sought (and was denied) r,True,True,True
An official Los Angeles Police Department (LAPD) b,True,False,"False

The Los"
Scientists grow viable vaginas from girls' own cel,True,False,"False

While scientists"
QuikTrip's Safe Place is equipped to provide a saf,False,False,"False

Quik"
Newport developed marijuana cigarettes which will ,False,False,False. As of the
"Mammograms Save Lives for Women in Their 40s, Stud",False,False,"False

While mamm"
"Covfefe"" means something, anything.",False,False,"False. The term """
Health care systems to get $5.5M to prepare for em,True,False,"False

The claim"
Cristina Higgins authored a personal account about,True,False,False. As of my
Facebook post Says series of 11 photos are “from t,False,Unsure,The verdict cannot be
Proposal for Lyme prevention included in appropria,True,False,"False

As of"
New hearts forge new friendship for transplant rec,True,False,"False

While it"
Group pushes to end plastic foam use in schools.,True,True,True
First-ever nivolumab study to treat aggressive ana,False,Unsure,I am not a medical
Ted Cruz Says both Donald Trump and Hillary Clinto,False,False,"False

Neither"
"500,000 U.S. troops came home from Iraq and Afghan",True,False,"False

According"
Planned Parenthood: States should oppose Trump ‘ga,True,True,True. The claim is
Virginia has “lagged behind other states when it c,True,True,"True

According"
"Merck KGaA, Pfizer's immuno-drug shown to alleviat",False,False,"False

Merck"
"Drugs may make stents deadly, study says",False,False,"False

The claim"
An inaudible sonic weapon adequately explains the ,False,False,"False

The symptoms"
We know that President Obama stole over $500 billi,False,False,False
Stay-at-home orders “actually are the law of these,True,Unsure,"The claim ""Stay"
Virginia psychiatric hospitals run short on open b,True,True,"True

According"
African-Americans don't use drugs at a higher leve,True,False,"False

The claim"
More support for osteoporosis drugs,True,Unsure,Neutral/Un
The Democrats have already voted to ban our conven,False,False,"False

The claim"
       A young boy fell asleep wearing a Spider-Ma,False,False,False
An immigrant put peanut butter in a little girl's ,False,Unsure,The claim as stated is
