claim,truth,pred,raw
Concussions in kids are detectable by blood test,Harmful,Harmful,3. Harmful
More cases of rabies in skunks confirmed in Detroi,Accurate,Accurate,1. Accurate
"There’s not one public study, and by public study ",Accurate,Unverifiable,Unverifiable
"President Barack Obama ""said over 20 times he did ",Accurate,Accurate,1. Accurate
FDA approves irritable bowel drug.,Accurate,Accurate,1. Accurate
Certain diabetes drugs found to double bone fractu,Accurate,Accurate,1. Accurate
“The CDC may have to stop calling COVID-19 an ‘epi,Harmful,Accurate,1. Accurate
A woman encountered kidnapping scouts at a Houston,Unverifiable,Accurate,1. Accurate
 A viral warning claims that a drug called burunda,Misleading,Harmful,3. Harmful
President Obama was arrested in Japan in connectio,Harmful,Unsure,3.
Medicare 5-year cancer bill tops $21.1 bln: study.,Accurate,Accurate,1. Accurate
Hospital closings hit hard on the edge of the Rust,Accurate,Harmful,3. Harmful
"We’ve got an average of 5,600 soldiers committing ",Misleading,Unsure,1.
Phyllis Schlafly Says broken compact fluorescent l,Harmful,Harmful,3. Harmful
The school shooting rate in non-Christian Japan is,Accurate,Accurate,1. Accurate
Rhode Island law aims to prevent suicides at publi,Accurate,Accurate,1. Accurate
Panel recommends pneumonia vaccine for adult smoke,Harmful,Accurate,1. Accurate
"Promise of faster, more accessible schizophrenia d",Harmful,Accurate,1. Accurate
 Discussion forums and social media have been abuz,Misleading,Accurate,1. Accurate
"In Iran in 1979, the extremists hijacked the broad",Accurate,Accurate,1. Accurate
Folic acid tied to better grades in Swedish teens,Accurate,Accurate,1. Accurate
“Four kids who took the coronavirus vaccine died i,Harmful,Harmful,3. Harmful
"In the House Republican health care bill, ""we’re e",Harmful,Accurate,1. Accurate
Older emphysema drug linked to heart deaths.,Accurate,Accurate,1. Accurate
Statistics demonstrate that crime rates in Austral,Harmful,Unsure,3.
The best evidence is that you lose -- if you use m,Misleading,Harmful,3. Harmful
Health officials in Omaha confirm 2 pediatric flu ,Accurate,Accurate,1. Accurate
We reduced abortion. We increased adoptions by 135,Harmful,Accurate,1. Accurate
Five-minute neck scan can spot dementia 10 years e,Harmful,Harmful,3. Harmful
After discovering a doomsday asteroid was approach,Harmful,Harmful,3. Harmful
Weighing effectiveness versus risk in obesity drug,Harmful,Accurate,1. Accurate
US OKs 1st drug aimed at women with inherited brea,Misleading,Accurate,1. Accurate
Brain-dead Canadian woman kept on life support to ,Accurate,Harmful,3. Harmful
"The Simpsons"" television show predicted the fire a",Harmful,Harmful,3. Harmful
"During the 2005 fight over Social Security, ""there",Harmful,Accurate,1. Accurate
Erdogan says Turkey will overcome coronavirus in t,Accurate,Accurate,1. Accurate
A woman sought medical help to remove a deer tongu,Accurate,Harmful,3. Harmful
Trump backs Fla. plan to import lower-cost meds fr,Accurate,Accurate,1. Accurate
Martin Luther King said our lives begin to end the,Misleading,Accurate,1. Accurate
 Swimmers have been warned about flesh-eating bact,Misleading,Accurate,1. Accurate
"Debbie Wasserman Schultz Says Gov. Rick Scott ""cut",Harmful,Accurate,1. Accurate
Kirk Watson Says carbon monoxide is still employed,Accurate,Harmful,3. Harmful
Airlines rush to boost demand as coronavirus shred,Accurate,Accurate,1. Accurate
'What choice do I have?' Lock-down strands million,Accurate,Harmful,3. Harmful
Teenage climate activist Greta Thunberg appeared o,Misleading,Unverifiable,Unverifiable
  A photo shows a weasel riding on the back of a w,Accurate,Unsure,3.
"Hillary Clinton Says Bernie Sanders ""has been larg",Unknown,Harmful,3. Harmful
"During wartime, the Seal of the President of the U",Harmful,Accurate,1. Accurate
"Obamacare medical device tax ""has led to the loss ",Misleading,Harmful,3. Harmful
New study: The flu vaccine is 'significantly assoc,Harmful,Harmful,3. Harmful
UK Supreme Court hears attempt to change Northern ,Accurate,Accurate,1. Accurate
Doctors weigh brain-oxygen monitor,Misleading,Accurate,1. Accurate
"An employee at a women's health center in Bronx, N",Unverifiable,Harmful,3. Harmful
A Texas girl required surgery after she swallowed ,Accurate,Accurate,1. Accurate
"Releasing inmates, screening staff: U.S. jails and",Accurate,Accurate,1. Accurate
Five minutes in the green can boost self esteem.,Accurate,Harmful,3. Harmful
Pediatrics group backs bill to allow minors to see,Accurate,Accurate,1. Accurate
Dutch teen author Noa Pothoven was voluntarily eut,Harmful,Accurate,1. Accurate
